ticket_text,issue_type,department
"I can no longer afford order {{Order Number}}, can I cancel it?",cancel_order,ORDER
i want help talking with somebody,contact_human_agent,CONTACT
i cant edit order {{Order Number}},change_order,ORDER
I need assistanc canceling the newsletter subscription,newsletter_subscription,SUBSCRIPTION
do uhave a toll-free customer assistance phone number,contact_customer_service,CONTACT
is it possible to speak to someone ?,contact_human_agent,CONTACT
assistance checking your reimbursement policy,check_refund_policy,REFUND
there is a problem setting up my delivery address,set_up_shipping_address,SHIPPING
I want help downloading invoice #85632,get_invoice,INVOICE
"I want to see how soon can I expect the order, how to do it?",delivery_period,DELIVERY
where do i inform of a trouble with payments,payment_issue,PAYMENT
can you hwlp me talking with a person?,contact_human_agent,CONTACT
I want to open a {{Account Category}} account,create_account,ACCOUNT
I do not know how to download the bills from {{Person Name}},get_invoice,INVOICE
editing data on {{Account Category}} acocunt,edit_account,ACCOUNT
talk to agent,contact_human_agent,CONTACT
need help leaving an opinion for a product,review,FEEDBACK
want help to see the withdrawal charges,check_cancellation_fee,CANCEL
help me seeing in what cases can I request reimbursements,check_refund_policy,REFUND
where could i check order {{Order Number}} fucking curent status,track_order,ORDER
want assistance seeing the ETA of purchase {{Order Number}},track_order,ORDER
I don't know what I have to do to close my {{Account Category}} account,delete_account,ACCOUNT
I'm trying to inform of a error with signup,registration_problems,ACCOUNT
want help to speak with an person,contact_human_agent,CONTACT
"I need to see the cancellation fee, can you help me?",check_cancellation_fee,CANCEL
have a problem with the removal of my {{Account Type}} account,delete_account,ACCOUNT
I awnt assistance to locate the bill #00108,check_invoice,INVOICE
"I have to create a platinum account, help me",create_account,ACCOUNT
how to download my bills from {{Person Name}}?,get_invoice,INVOICE
issue submitting a secondary shipping address,set_up_shipping_address,SHIPPING
i have errors trying to modify the address,change_shipping_address,SHIPPING
I don't know what I have to do to download my invoice #12588,get_invoice,INVOICE
I don't know what I need to do to remove a standard account,delete_account,ACCOUNT
modifu details on {{Account Category}} account,edit_account,ACCOUNT
"I don't use the goddamn gold account, I want to delete it",delete_account,ACCOUNT
what do i need to do to talk to someone,contact_human_agent,CONTACT
i dont know how to inform of a trouble with payment,payment_issue,PAYMENT
tell me what hours i can get in touch wit customer service,contact_customer_service,CONTACT
help seeing what shipping options you offer,delivery_options,DELIVERY
could you help me to file a damn consumer complaint?,complaint,FEEDBACK
I need to check in which situations can I ask for a refund,check_refund_policy,REFUND
wanna check uf refund policy,check_refund_policy,REFUND
I want help to get refunds,get_refund,REFUND
"you are not helpful, help talking to an operator",contact_human_agent,CONTACT
I want to see what payment options are availabl,check_payment_methods,PAYMENT
I need information about a delivery address update,change_shipping_address,SHIPPING
create {{Account Type}} accountfor wife,create_account,ACCOUNT
is it possible to place an order from {{Delivery City}},delivery_options,DELIVERY
i have paid {{Currency Symbol}}{{Refund Amount}} for an order I'm trying to obtain a refund,get_refund,REFUND
I expect a restitution of {{Refund Amount}} dollars,track_refund,REFUND
help to receive your newslettyer,newsletter_subscription,SUBSCRIPTION
i dont know how  to see bill #12588,check_invoice,INVOICE
is it possible to list the available payment modalities ?,check_payment_methods,PAYMENT
how can I talk with a human agent?,contact_human_agent,CONTACT
i dont kno how to inform of an error with a registration,registration_problems,ACCOUNT
can uhelp me to chat with somebody,contact_human_agent,CONTACT
create new {{Account Type}} account for daughter,create_account,ACCOUNT
want assistanfe to shop several damn articles,place_order,ORDER
I need help making a complaint,complaint,FEEDBACK
assistance checking what hours i can reach customre service,contact_customer_service,CONTACT
I am waiting for a rebate fo {{Refund Amount}} dollars,track_refund,REFUND
i dont know how i can talk to customer service,contact_customer_service,CONTACT
help me to create a {{Account Category}} account,create_account,ACCOUNT
I try to notify of a sign-up error,registration_problems,ACCOUNT
i have problems with canceling order {{Order Number}},cancel_order,ORDER
I try to order some of your article,place_order,ORDER
I need hdlp to submit my feedback for a product,review,FEEDBACK
tell me more about updating the delivery address,change_shipping_address,SHIPPING
how could I edit my damn user?,edit_account,ACCOUNT
need assistance to find my fucking bill from {{Person Name}},check_invoice,INVOICE
i expect a reimbursement of {{Refund Amount}} dollars,track_refund,REFUND
can ya help me to switch an item oforder {{Order Number}},change_order,ORDER
what do I have to do to restore the key of my user profile?,recover_password,ACCOUNT
I do not know what to do to cancel the standard account,delete_account,ACCOUNT
I want information about the removal of my {{Account Type}} account,delete_account,ACCOUNT
i dont know what i have to do to create a freemium account,create_account,ACCOUNT
helpchecking the allowed payment options,check_payment_methods,PAYMENT
I cannot submit a secondary delivery address,set_up_shipping_address,SHIPPING
"I have to edit some of my user details, how to do it?",edit_account,ACCOUNT
set up new shipping address,set_up_shipping_address,SHIPPING
want assistance to get the bills from {{Person Name}},get_invoice,INVOICE
see under what circumstances can i ask for reimbursements,check_refund_policy,REFUND
I want assistance requesting a compensation of money,get_refund,REFUND
I have got to submit some feedback for a service,review,FEEDBACK
I do not know how I could enter my new delivery address,set_up_shipping_address,SHIPPING
i do not know what to do to talk with an operator,contact_human_agent,CONTACT
there are issues setting up the new shipping address,set_up_shipping_address,SHIPPING
how do I create a {{Account Type}} account for my daughter?,create_account,ACCOUNT
d uship to {{Delivery City}},delivery_options,DELIVERY
get bill #12588,get_invoice,INVOICE
need assistance cancelling purchase {{Order Number}},cancel_order,ORDER
changing order {{Order Number}},change_order,ORDER
can you help me subscribing to your corporate newsletter?,newsletter_subscription,SUBSCRIPTION
i do not know what i neerd to do to download my bill #12588,get_invoice,INVOICE
correcting infornation on standard account,edit_account,ACCOUNT
need support tryinmg to change the address,change_shipping_address,SHIPPING
wanna ask for a compensatin of money,get_refund,REFUND
i need information about correcting my shipping address,change_shipping_address,SHIPPING
how can I sign up to your corporate nnewsletter?,newsletter_subscription,SUBSCRIPTION
need assistance to submit my feedback for your services,review,FEEDBACK
where to report issues with online payments,payment_issue,PAYMENT
i dont know how to check what methods for delivery are there,delivery_options,DELIVERY
where could I inform of issues with payment?,payment_issue,PAYMENT
I do not know what I have to do to chat with a human agent,contact_human_agent,CONTACT
assistance to see ru accepted payment options,check_payment_methods,PAYMENT
I have got to see what methods for delivery I have,delivery_options,DELIVERY
i do not know how to download the bill #37777,get_invoice,INVOICE
I don't know how to speak with a humnan agent,contact_human_agent,CONTACT
I'm tryng to get the bill #00108,get_invoice,INVOICE
what do i have to do to find my bills from {{Person Name}},check_invoice,INVOICE
want assistance to write an opinion,review,FEEDBACK
I am trying to list your acceoted payment options,check_payment_methods,PAYMENT
checkmy invoice #37777,check_invoice,INVOICE
question about opening standard accounts,create_account,ACCOUNT
open {{Account Category}} account,create_account,ACCOUNT
I do not know what to do to speak with an live agent,contact_human_agent,CONTACT
could uhelp me to contact an assistant,contact_human_agent,CONTACT
check allowed payment methods,check_payment_methods,PAYMENT
question about cancellung purchase {{Order Number}},cancel_order,ORDER
modify information on {{Account Type}} acfount,edit_account,ACCOUNT
i dont know how to see the shipping options,delivery_options,DELIVERY
I want to look for my bill #12588,check_invoice,INVOICE
I'd like to see order {{Order Number}} current status will  uhelp me,track_order,ORDER
i need assstance to check how soon can i expect the order,delivery_period,DELIVERY
is it possible to notify of troubles with online payment ?,payment_issue,PAYMENT
I don't know how I can cancel purchase {{Order Number}},cancel_order,ORDER
I have problems with cancelling purchase {{Order Number}},cancel_order,ORDER
I want assistance to check the withdcrawal charge,check_cancellation_fee,CANCEL
"I have got to open a new bloody {{Account Type}} account, I need help",create_account,ACCOUNT
can you help me reporting a registration issue?,registration_problems,ACCOUNT
I don't know what to do to chat with somebody,contact_human_agent,CONTACT
i want assistance to notify of errors with payment,payment_issue,PAYMENT
support updating my address,change_shipping_address,SHIPPING
help mke chatting with a person,contact_human_agent,CONTACT
i call to check when my parcel is gonna arive,delivery_period,DELIVERY
how do i change to the gold acconut,switch_account,ACCOUNT
"I can't pay, assistance notifying of an issue with payment",payment_issue,PAYMENT
how do I add some items to order {{Order Number}} ?,change_order,ORDER
editing data on pro account,edit_account,ACCOUNT
shipping to {{Delivery Country}},delivery_options,DELIVERY
i want help to ask for compensatiuons,get_refund,REFUND
i try to check the shipment options,delivery_options,DELIVERY
I'm waiting for a refund of {{Refund Amount}} dollrs,track_refund,REFUND
open a {{Account Category}} account,create_account,ACCOUNT
help to check what hours I can call customer service,contact_customer_service,CONTACT
I try to lodge a customer complaint,complaint,FEEDBACK
can you show me the compensation status?,track_refund,REFUND
help to locate the bill from {{Person Name}},check_invoice,INVOICE
need help editing m address,change_shipping_address,SHIPPING
"I have got to track the restitution, how can I do it?",track_refund,REFUND
need to make a consumer reclamation against ur organization,complaint,FEEDBACK
see what hours i can reach customer service,contact_customer_service,CONTACT
changing purchase {{Order Number}},change_order,ORDER
i want help talking with an agent,contact_human_agent,CONTACT
help me to delete an item from order {{Order Number}},change_order,ORDER
I don't know how to change the personal information,edit_account,ACCOUNT
need to receive ur newsletter can ya help me,newsletter_subscription,SUBSCRIPTION
need assistance to make a consumer claim against ur business,complaint,FEEDBACK
want assistance to see the payment modalities,check_payment_methods,PAYMENT
need help to shop several of ur item,place_order,ORDER
can you show me what shipment options are available?,delivery_options,DELIVERY
where can i lodge a customer claim,complaint,FEEDBACK
I need assistance to dfownload my invoice #37777,get_invoice,INVOICE
get invoice #85632,get_invoice,INVOICE
how do I update the shipping address?,change_shipping_address,SHIPPING
can you help me to check the methods for shipping?,delivery_options,DELIVERY
I want to see the status of order {{Order Number}},track_order,ORDER
"I have got to close a premium account, I need help",delete_account,ACCOUNT
i want help to create a {{Account Category}} account,create_account,ACCOUNT
I want assistance to change to the freemium account,switch_account,ACCOUNT
i want help to check the current status of my compensation,track_refund,REFUND
what do I need to do to order something?,place_order,ORDER
I need to set up another deliverry address,set_up_shipping_address,SHIPPING
"I want to file a customer reclamation, how do I do it?",complaint,FEEDBACK
I call to check how long it takes for the purchase to arrive,delivery_period,DELIVERY
I need information about the methods for shipment,delivery_options,DELIVERY
i cant speak with a person,contact_human_agent,CONTACT
where do I lodge a claim against your business?,complaint,FEEDBACK
I don't know how to retrieve the pass of ym account,recover_password,ACCOUNT
could you help me to create a {{Account Type}} account for my fiance?,create_account,ACCOUNT
help me solving a trouble with payment,payment_issue,PAYMENT
I don't know how to check my restitution status,track_refund,REFUND
i can no longer afford purchase {{Order Number}},cancel_order,ORDER
want help senxing feedback for ur services,review,FEEDBACK
can I list the available payment methods?,check_payment_methods,PAYMENT
help to see in which cases can I ask for refunds,check_refund_policy,REFUND
will you transfer to me somebody?,contact_human_agent,CONTACT
I want help reporting payment problems,payment_issue,PAYMENT
"I have to correct purchase {{Order Number}}, I need assistance",change_order,ORDER
errors with online payments,payment_issue,PAYMENT
i expect a restitution of {{Currency Symbol}}{{Refund Amount}},track_refund,REFUND
I don't know what I have to do to buy some of your article,place_order,ORDER
i want assistance listing the payment methods,check_payment_methods,PAYMENT
i dont know how i can submit the secondary shipping address,set_up_shipping_address,SHIPPING
i need assistance notifying of a payment probelm,payment_issue,PAYMENT
help me to make a customer reclamation against your company,complaint,FEEDBACK
I need help acquiringv several of your item,place_order,ORDER
how to reset the access key of my account,recover_password,ACCOUNT
I am looking for information about a delivery address change,change_shipping_address,SHIPPING
see current status of order {{Order Number}},track_order,ORDER
i dont know what i need to do to change to the pro account,switch_account,ACCOUNT
where could I submit the shipping address?,set_up_shipping_address,SHIPPING
I don't know what to do to notify of registration issues,registration_problems,ACCOUNT
I do not know how I can buy some of your article,place_order,ORDER
another premium account for father,create_account,ACCOUNT
can uhelp me ti leave a damn review for a product,review,FEEDBACK
"I have to check the shipping options, will you help me?",delivery_options,DELIVERY
can you help me lodging a complaint against your company?,complaint,FEEDBACK
what do i need to do to get my invoices from {{Person Name}},get_invoice,INVOICE
what do i have to do to locate my biull #85632,check_invoice,INVOICE
I don't know how to talk with an agent,contact_human_agent,CONTACT
I want information about correcting order {{Order Number}},change_order,ORDER
what do I have to do to report a problem with sign-up?,registration_problems,ACCOUNT
i dont want order {{Order Number}},cancel_order,ORDER
problems setting up my secondary delivery address,set_up_shipping_address,SHIPPING
swithcing to standard account,switch_account,ACCOUNT
i want help trying to edit my delivery address,change_shipping_address,SHIPPING
can you help me leave an opinion foor a product?,review,FEEDBACK
I try to see what hours customer service aailable is,contact_customer_service,CONTACT
help checking the withdrawal penalties,check_cancellation_fee,CANCEL
I do not know what I have to do to speak with an operator,contact_human_agent,CONTACT
"I would like to downloasd bill #00108, can you help me?",get_invoice,INVOICE
what do I have to do to cancel purchase {{Order Number}}?,cancel_order,ORDER
I don't know what I have to do to delete my platinum account,delete_account,ACCOUNT
i need assistance to reset the pin code of my account,recover_password,ACCOUNT
can you show me when my item is going to arrive?,delivery_period,DELIVERY
i try to send feedback about ur services,review,FEEDBACK
reset the access key of my account,recover_password,ACCOUNT
I have troubles editing the address,change_shipping_address,SHIPPING
do you deliver to {{Delivery Country}}?,delivery_options,DELIVERY
I want help recovering my PIN code,recover_password,ACCOUNT
"I want to update the damn user data, how could I do it?",edit_account,ACCOUNT
i dont know how to report an issue with a registration,registration_problems,ACCOUNT
want help to report a trouble with payment,payment_issue,PAYMENT
I need assistance to create a {{Account Category}} account,create_account,ACCOUNT
need assistance to list ur fucking payment methods,check_payment_methods,PAYMENT
tell me about modifying  my address,change_shipping_address,SHIPPING
help me to see at what time I can contact customer service,contact_customer_service,CONTACT
i do not know how i can report a registration problem,registration_problems,ACCOUNT
i dont know what i need to do to download the bill #85632,get_invoice,INVOICE
want assistance to see the shipping options,delivery_options,DELIVERY
I want help checking the restitution current status,track_refund,REFUND
want assistance submitting my feedback for a service,review,FEEDBACK
"I have to talk with customer support, I need help",contact_customer_service,CONTACT
help me file a consumer complaint against ur company,complaint,FEEDBACK
show me in which situations  can i ask for refunds,check_refund_policy,REFUND
I want to correct purchase {{Order Number}},change_order,ORDER
i cannot see if there is anything new on my refund,track_refund,REFUND
how do I create a bloody {{Account Category}} account for my father?,create_account,ACCOUNT
could you help me reporting errors with online payment?,payment_issue,PAYMENT
I am waiting for a rebate of {{Refund Amount}} dollars,track_refund,REFUND
what do I need to do to shop some of your product?,place_order,ORDER
i need help calling customer service,contact_customer_service,CONTACT
how to track the reimbursement?,track_refund,REFUND
where to file a customer reclamation against your company ?,complaint,FEEDBACK
I need assistance checking your reimbursement policy,check_refund_policy,REFUND
"I would like to get the bill from {{Person Name}}, help me",get_invoice,INVOICE
help to check in what situations can I request a refund,check_refund_policy,REFUND
I have problems entering a different shipping address,set_up_shipping_address,SHIPPING
I don't know how I can write a comment for  a product,review,FEEDBACK
shipnents to {{Delivery Country}},delivery_options,DELIVERY
"I have got to check how soon can I expect my order, help me",delivery_period,DELIVERY
i have got to check when will my item arrive,delivery_period,DELIVERY
I would like to see the termination charges,check_cancellation_fee,CANCEL
how to check the current status of purchase {{Order Number}}?,track_order,ORDER
help to solve an error withonline payments,payment_issue,PAYMENT
how to download the bills from {{Person Name}}?,get_invoice,INVOICE
can unelp me shop a few of ur article,place_order,ORDER
I want assistance to inform of errors with registrations,registration_problems,ACCOUNT
I need assistance tracking my reimbursement,track_refund,REFUND
need to use the {{Account Category}} profile help me,switch_account,ACCOUNT
I don't know how I could see the cancellation penalties,check_cancellation_fee,CANCEL
i dont kno how to request a refund of my money,get_refund,REFUND
help informing of a problem with sign-up,registration_problems,ACCOUNT
what do I need to do to see order {{Order Number}} status?,track_order,ORDER
i try to check what paymnt payment modalities ya accept,check_payment_methods,PAYMENT
I do not know what I have to do to get refunds of my money,get_refund,REFUND
how can i ask for refunds of money,get_refund,REFUND
I do not know how to buy several of your product,place_order,ORDER
I need assistance seeing what payment options are allowed,check_payment_methods,PAYMENT
can you help me check the status of my compensation?,track_refund,REFUND
where can i get the invoice #12588,get_invoice,INVOICE
help me report an issue with registrations,registration_problems,ACCOUNT
need help earning several of your article,place_order,ORDER
i have to check the termination charges how to do it,check_cancellation_fee,CANCEL
changing details on {{Account Type}} account,edit_account,ACCOUNT
is it possible to change to the {{Account Category}} account?,switch_account,ACCOUNT
how could I edit my goddamn account?,edit_account,ACCOUNT
I do not know how to check the early termination penalties,check_cancellation_fee,CANCEL
I am waiting for a reimbursement of {{Refund Amount}} dollars,track_refund,REFUND
is it possible to see in what cases can i ask for a refund,check_refund_policy,REFUND
I have to find the bills from {{Person Name}},check_invoice,INVOICE
I need help opening a new goddamn gold account,create_account,ACCOUNT
assistance demanding restitutions of money,get_refund,REFUND
can I check what hours I can reach customer assistance?,contact_customer_service,CONTACT
i dont know what i need to do to change to the {{Account Type}} account,switch_account,ACCOUNT
how do I make a reclamation against your organization?,complaint,FEEDBACK
I have got to report a trouble with online payment,payment_issue,PAYMENT
i aint registered yet could i open a pro account withyou,create_account,ACCOUNT
can you help me to check what shipment methods I have?,delivery_options,DELIVERY
I need assistance to receive a refund of my money,get_refund,REFUND
could I unsubscribe to your corporate newsletter?,newsletter_subscription,SUBSCRIPTION
i want assistance checking when will my item arrive,delivery_period,DELIVERY
i have to talk to customer service,contact_customer_service,CONTACT
can you direct to me a person?,contact_human_agent,CONTACT
I cannot enter the new delivery address,set_up_shipping_address,SHIPPING
need assistance seeing the payment methods,check_payment_methods,PAYMENT
how can I inform of a trouble with payhments?,payment_issue,PAYMENT
I need help with updating order {{Order Number}},change_order,ORDER
i want assistance acquiring a few of ur article,place_order,ORDER
"I have to list your payment modalities, how do I do it?",check_payment_methods,PAYMENT
I don't know how I can see your refund policy,check_refund_policy,REFUND
can you help me see the ETA of the order {{Order Number}}?,track_order,ORDER
I want assistance chatting with someone,contact_human_agent,CONTACT
I would like to cancel purchase {{Order Number}},cancel_order,ORDER
can you help me to take a quick look at my bill #85632?,check_invoice,INVOICE
I need assistance informing of sign-up problems,registration_problems,ACCOUNT
help me see your allowed payment options,check_payment_methods,PAYMENT
do you deliver to {{Delivery City}}?,delivery_options,DELIVERY
assistance to see when my order is going to arrive,delivery_period,DELIVERY
i do not know how i can remove the premium account,delete_account,ACCOUNT
i need help to set another shipping address pu,set_up_shipping_address,SHIPPING
want assistance to see the terminatoin charges,check_cancellation_fee,CANCEL
I cannot see your refund policy,check_refund_policy,REFUND
need to acquire several of ur article,place_order,ORDER
I need assistance retreiving my profile key,recover_password,ACCOUNT
I want assistance seeing the cancellation charge,check_cancellation_fee,CANCEL
i need assistance to open a {{Account Category}} account for my dad,create_account,ACCOUNT
can you help me track order {{Order Number}}?,track_order,ORDER
I expect a restitution of {{Currency Symbol}}{{Refund Amount}},track_refund,REFUND
i dont know how i can take a quick look at my invoice #85632,check_invoice,INVOICE
I want help to notify of an issue with payments,payment_issue,PAYMENT
can you help md unsubscribing to your company newsletter?,newsletter_subscription,SUBSCRIPTION
I have a problem trying to correct the shipping address,change_shipping_address,SHIPPING
how can I see your reimbursement policy?,check_refund_policy,REFUND
help me download the bill from {{Person Name}},get_invoice,INVOICE
can you help me to speak with a bloody operator?,contact_human_agent,CONTACT
I want help to contact an assistant,contact_human_agent,CONTACT
"I need to see when will my package arrive, help me",delivery_period,DELIVERY
I expect a compensation of {{Refund Amount}} dollars,track_refund,REFUND
help seeing when will my package arrive,delivery_period,DELIVERY
I have troubles setting up a new shipping address,set_up_shipping_address,SHIPPING
I don't know what to do to close a pro accoount,delete_account,ACCOUNT
I do not know how to seehow soon can I expect my purchase,delivery_period,DELIVERY
can utell me more about modifying my delivery address,change_shipping_address,SHIPPING
how can i demand refunds,get_refund,REFUND
can you help me changing purchase {{Order Number}}?,change_order,ORDER
where to send feedback about a product?,review,FEEDBACK
there are problems setting up a new delivery address,set_up_shipping_address,SHIPPING
I want assistance creatinga standard account,create_account,ACCOUNT
close {{Account Type}} account,delete_account,ACCOUNT
where do I see what hours I can call customer service?,contact_customer_service,CONTACT
I do not know what I need to do to close the {{Account Type}} account,delete_account,ACCOUNT
I can't pay for purchase {{Order Number}},cancel_order,ORDER
wanna see how soon can i expect the shipment help me,delivery_period,DELIVERY
I don't know what I need to do to locate the invoice #85632,check_invoice,INVOICE
i have troubles entering my delivery address,set_up_shipping_address,SHIPPING
i need assistance informing of problems with online payment,payment_issue,PAYMENT
what do i need to do to send some feedback,review,FEEDBACK
where do I file a claim against your company?,complaint,FEEDBACK
i want assistance to shop a product,place_order,ORDER
assistance to inform of asign-up problem,registration_problems,ACCOUNT
problems with swapping a product of purchase {{Order Number}},change_order,ORDER
how to see bill #37777,check_invoice,INVOICE
where to check the withdrawal penalty?,check_cancellation_fee,CANCEL
I have to list the available payment options,check_payment_methods,PAYMENT
where to receive your company newsletter?,newsletter_subscription,SUBSCRIPTION
i have got to list the accepted payment methods how to do it,check_payment_methods,PAYMENT
help to see how soon can I expect my pacjage,delivery_period,DELIVERY
want help to obtain a compensation of money,get_refund,REFUND
what do I have to do to make a complaint?,complaint,FEEDBACK
I don't know what I need to do to check bill #37777,check_invoice,INVOICE
"I have to talk to customer support, can I get some help?",contact_customer_service,CONTACT
need to receive reimbursements of my money,get_refund,REFUND
"my card was declined, inform of an error with payments",payment_issue,PAYMENT
updating order {{Order Number}},change_order,ORDER
i do not know what i have to do to get my invoice #85632,get_invoice,INVOICE
"I have got to notify of registration problems, help me",registration_problems,ACCOUNT
i do not know what to do to contact a human agent,contact_human_agent,CONTACT
"the experience with you was awful, file a customer complaint",complaint,FEEDBACK
"I need to check your allowed payment options, how to do it?",check_payment_methods,PAYMENT
need assistance to see the ETA of the purchase {{Order Number}},track_order,ORDER
help  me reporting a sign-up problem,registration_problems,ACCOUNT
can I see the termination charges?,check_cancellation_fee,CANCEL
what do I have to do to enter my new shipping address?,set_up_shipping_address,SHIPPING
I want assistance to demand rebates of money,get_refund,REFUND
i do not know what i need to do to hsop several articles,place_order,ORDER
i expect a refund of {{Currency Symbol}}{{Refund Amount}},track_refund,REFUND
I don't know how I can order some of your article,place_order,ORDER
can you help me to see the withdrawal fee?,check_cancellation_fee,CANCEL
where to open a {{Account Category}} account?,create_account,ACCOUNT
corrrect order {{Order Number}},change_order,ORDER
i need assistance to send some feedback for ur produucts,review,FEEDBACK
I don't know what to do to switch to the {{Account Category}} account,switch_account,ACCOUNT
help to restore my access key,recover_password,ACCOUNT
I do not know how to reset my user profile PIN code,recover_password,ACCOUNT
can you help me see the current status of the rebate?,track_refund,REFUND
can you help me notifying of issues with a registration?,registration_problems,ACCOUNT
"I want to see how soon can I expect my delivery, help me",delivery_period,DELIVERY
where can i obtain a compensation of money,get_refund,REFUND
cn I place an order from {{Delivery City}}?,delivery_options,DELIVERY
what do i need to do to create a {{Account Category}} account,create_account,ACCOUNT
I need help leaving feedback about a service,review,FEEDBACK
I don't know what I need to do to get the bill #12588,get_invoice,INVOICE
I need help to notify of problems with sign-up,registration_problems,ACCOUNT
I need help with canceling purchase {{Order Number}},cancel_order,ORDER
"I want to send my feedback, I need assistance",review,FEEDBACK
want help to check in what cases can i request refunds,check_refund_policy,REFUND
I try to see order {{Order Number}} status,track_order,ORDER
how acn i get information about forgotten access keys,recover_password,ACCOUNT
can uhelp me to get the invoice #12588,get_invoice,INVOICE
I need help to locate my bills from {{Person Name}},check_invoice,INVOICE
I don't know how to recover the PIN of my profile,recover_password,ACCOUNT
I want help submitting my feedback about your products,review,FEEDBACK
i cannot poay for purchase {{Order Number}},cancel_order,ORDER
I'm trying to cancel purchase {{Order Number}},cancel_order,ORDER
i want assistance to list the payment methods,check_payment_methods,PAYMENT
help to talk to customer service,contact_customer_service,CONTACT
where can I list the payment options?,check_payment_methods,PAYMENT
i need assistance with creating a platinum account,create_account,ACCOUNT
how can I check when my bloody product is going to arrive?,delivery_period,DELIVERY
i dont have a bloody {{Account Category}} account yet i ened to open one,create_account,ACCOUNT
I do not know how to see when will my item arrive,delivery_period,DELIVERY
help me see in what cases can I reuest my money back,check_refund_policy,REFUND
wanna order a few of ur article,place_order,ORDER
wanna see the statusof order {{Order Number}} i need help,track_order,ORDER
i need assistance getting my bill from {{Person Name}},get_invoice,INVOICE
is it possible to obtain reimbursements of my money,get_refund,REFUND
i dont know how i could inform of an error with signup,registration_problems,ACCOUNT
i have got to check the terminatiln penalties how to do it,check_cancellation_fee,CANCEL
what do I need to do to check the goddamn shipping options?,delivery_options,DELIVERY
lodging consumer complaint against your business,complaint,FEEDBACK
want help retrieving the pwd of my user account,recover_password,ACCOUNT
I don't know what to do to see the methods for shipping,delivery_options,DELIVERY
how can i submit some feedback abot ur company,review,FEEDBACK
could you help me reset the PIN of my user profile?,recover_password,ACCOUNT
I don't know what I have to do to reset the PIN of my user,recover_password,ACCOUNT
help me making a claim against your business,complaint,FEEDBACK
I try to edit the address,change_shipping_address,SHIPPING
I can't seed your refund policy,check_refund_policy,REFUND
where can i look for the inovice #12588,check_invoice,INVOICE
need assistance to use the platinum profile,switch_account,ACCOUNT
i dont know how to change to the premium account,switch_account,ACCOUNT
i want help talking with an assistat,contact_human_agent,CONTACT
need help to see what shipping methods are there,delivery_options,DELIVERY
see in what situations can I ask for refunds,check_refund_policy,REFUND
i cannot pay want help to report errors with payments,payment_issue,PAYMENT
"I cannot find the termination penalty, can I get some help?",check_cancellation_fee,CANCEL
show me what payment options are accepted,check_payment_methods,PAYMENT
I try to restore the access key of my account,recover_password,ACCOUNT
what do i have to do to get invoice #37777,get_invoice,INVOICE
assistance lodging a customer reclamation against ur copany,complaint,FEEDBACK
I do not know how I can set up my shipping address,set_up_shipping_address,SHIPPING
how to subscribe to the newsletter?,newsletter_subscription,SUBSCRIPTION
i dont know what to do to get the invoice #00108,get_invoice,INVOICE
want help to change something of order {{Order Number}},change_order,ORDER
I want help to see the fucking ETA of the order {{Order Number}},track_order,ORDER
I have a trouble trying to modify my address,change_shipping_address,SHIPPING
do you ship to {{Delivery Country}}?,delivery_options,DELIVERY
could you help me check hte cancellation penalties?,check_cancellation_fee,CANCEL
how to check at what time I can call customer service?,contact_customer_service,CONTACT
